,comment_author,star_rating,comment_date,comment_title,comment
705,Vanessa,5.0 out of 5 stars,"Reviewed in the United States on July 23, 2011",YUMMY!!!,"  These are so delicious!! I have tried MANY brands -- from the stuff in Chinatown to Amazon, and these are hands-down the best! The flavor is fresh and just opening the container made my mouth water. These are MUCH better than the ""Seas Gift"" brand that's on Amazon, and is actually cheaper per ounce. I will be buying these again and again."
706,HatchMan,4.0 out of 5 stars,"Reviewed in the United States on February 6, 2013",Perfect Diet Salty Snack?  I eat 4-5 Packs Per Week,"  It's like all the other roasted seaweed snacks out there, but the roasted sesame flavor gives it a subtle taste that even children like.My only complaint is that I wish they used a healthier oil in it's preparation.  If it was something like olive oil, it would be a perfect 5 stars."
707,julie anderson,1.0 out of 5 stars,"Reviewed in the United States on April 17, 2019",Old,"  These are OLD!!!! No salt, no wasabi and no crunch."
708,Joanne,5.0 out of 5 stars,"Reviewed in the United States on November 8, 2013",Love this stuff,"  I find it strange that I even like this product, as I don't like to eat sushi. I even avoid using fish sauce as an ingredient when Asian recipes call for it bc it grosses me out.  Yet this I like. It's stinky at first, yes, LOL, but in a weirdly good way I suppose.  I am dieting for some months now and finding anything to snack on without racking up the calories is hard work, so when I do snack, I need guilt-free and low-caloric snacks.  I eat 10 or so at a time but it's hard to stop and I want them to last.  Now with this package of 12, I am golden.  I tried the other varieties of this brand, but didn't like it at all. It is obviously the 'hot kick"" that this one gives that makes it more interesting to me. It comes well packed and the 'best before' date is April of 2014, almost six months from now. They won't last that long :)"
709,Maya,4.0 out of 5 stars,"Reviewed in the United States on August 22, 2019",Can’t eat just one package,  Very addictive low calorie snack
710,LP,1.0 out of 5 stars,"Reviewed in the United States on January 22, 2016",Tasted stale/dated,  I usually have no problem with my order of this product. However this shipment tasted stale:(
711,Thom Barclay,5.0 out of 5 stars,"Reviewed in the United States on November 13, 2017",They make great snacking while he is (hopefully) studying,  I get these by the case for my teen. They make great snacking while he is (hopefully) studying!
712,J.Me,5.0 out of 5 stars,"Reviewed in the United States on September 19, 2016",Seaweed Wraps,  great food! Oil does settle to bottom of the tray so it's all good! I use for my roll up rice.
713,imawake,5.0 out of 5 stars,"Reviewed in the United States on March 18, 2017",Perfect thing when I'm craving salt,  I buy these by the case because they're so delicious!
714,M. Harper,5.0 out of 5 stars,"Reviewed in the United States on August 15, 2017",Very tasty. I eat a whole package at one ...,  Very tasty.  I eat a whole package at one time as I can't put it down once I started eating it.
715,Kim,5.0 out of 5 stars,"Reviewed in the United States on August 4, 2012","Delicious, and no wheat!","  This product has a few simple ingredients and delivers great flavor without the MSG you often find in other seasoned seaweed products. It's also free of soy sauce, which usually contains wheat, so it suits my gluten free diet.  I drink soy milk and take a supplement with soy isoflavones which tend to bind iodine, so the super boost of iodine in the seaweed is a great benefit for me.The seaweed sheets are crisp and we eat them like potato chips or sometimes we wrap them around warm rice. Make sure you have a napkin. The healthy oils on this seaweed can be a little messy on the hands.My kids love this stuff. - They were introduced to seaweed at a young age. I have to fight them for my share."
716,Kotyonok,5.0 out of 5 stars,"Reviewed in the United States on January 31, 2019",I love the horseradish/wasabi kick,"  Tasty low-cal, low-carb snack"
717,Jay Kay,5.0 out of 5 stars,"Reviewed in the United States on July 11, 2017",One of my favorite snacks,"  Love seaweed snacks, these have just the right amount of wasabi but can still be a bit spicy."
718,olga gree,5.0 out of 5 stars,"Reviewed in the United States on May 18, 2013",Amazingly crispy and fresh!,"  Just cracked open my first bag. I am a seaweed addict. If there was a group for seaweed dependency, I'd qualify. These are great tasting, and to my surprise, these seem to have just a tad less sodium, which is a good thing.  Great taste, freshness.  Yummmmmmm"
719,Vivi,1.0 out of 5 stars,"Reviewed in the United States on June 8, 2015",Bleh! Ew! Stay away!,"  Greasy and tastes like cheap oil. The oil covers up the taste of the laver and doesn't taste anything like either roasted laver nor sesame. It tastes like what I imagine frying oil that's been sitting for a month at a fast food joint might taste like -though that might even prove more flavorful than this.I don't like wasting food but after trying to stomach my way through two packs of these over the course of a month, I threw the rest out. It tastes about as delectable as a wet napkin. D:I'd recommend Jayone Seaweed instead for the real roasted laver taste."
720,swans6250,4.0 out of 5 stars,"Reviewed in the United States on February 16, 2015",Good snack,"  This flavor is a little more bland then the one with cracked pepper, but I used it to wrap a piece of sushi ginger and that perked the taste right up.  Makes a great low calorie snack."
721,Amanda J. Brand,5.0 out of 5 stars,"Reviewed in the United States on September 5, 2017",Five Stars,"  I LOVE THESE CHIPS!  They have just enough salty taste, and really are such a treat to eat.  YUMMY!"
722,N. Bellin,5.0 out of 5 stars,"Reviewed in the United States on January 23, 2017",These are great for quick sushi,  These are great for quick sushi. They stay very crisp and dry in the packaging and flavor is not overwhelming and just right.
723,Loyal Amazon Shopper,5.0 out of 5 stars,"Reviewed in the United States on January 27, 2017",Prefer this brand to others,  The wasabi adds the right kick of flavor. Good amount of crunch. Great salty snack full of minerals.
724,Sandra,5.0 out of 5 stars,"Reviewed in the United States on March 18, 2017",Five Stars,  One of the better seaweed products. Not too salty as others seem to be.
725,K. Nguyen,2.0 out of 5 stars,"Reviewed in the United States on January 26, 2016",The wasabi flavor isn't that strong on this one. ...,  The wasabi flavor isn't that strong on this one.. I've tasted significantly stronger wasabi seaweed snacks before.. just not for me.
726,Daniel Goldman,4.0 out of 5 stars,"Reviewed in the United States on August 24, 2013",A good snack item.,"  Seaweed snacks aren't so common in America yet, but you find them a lot in Asian grocery stores. What are they like? Well, they're crispy and salty snacks, that pretty much melt away as you eat them, a good match for beer, I'd say. They aren't very filling though, so don't plan on making a meal out of them. Annie Chun's version of this snack is the one I usually get. The roasted sesame flavor is something agreeable to most American palettes, although their wasabi flavored snacks are also good.A note about storage: Once you open these, you want to make sure they're consumed pretty quickly or stored in a dry place. They don't stay crisp long once open, especially if it's humid."
727,Maria Alberty,4.0 out of 5 stars,"Reviewed in the United States on October 11, 2019",Dislike the taste,  My nsme is Maria Alberty.Dislike a lot. I want to cancel that order but the way to do it is very complicated and confusing
728,Ropes,4.0 out of 5 stars,"Reviewed in the United States on September 10, 2012",Seaweed,  I like seaweed mostly cause it's good for you.  Trying to do the healthy thing.  A couple of times while eating it the wasabi did it's thing to me.  The next time I purchase this product I'm going for a another flavor.  I like it suggest you try it.
729,PinkBarbie,5.0 out of 5 stars,"Reviewed in the United States on March 25, 2018",Mmmmmmmmm,  Delicious and filling
730,Natasha,5.0 out of 5 stars,"Reviewed in the United States on June 1, 2015",Crunch and Flavor,  These are the best snacks ever. They are healthy which is an added bonus. They have just the right amount of both salt and sesame oil which blends into a crisp snack. I highly recommend!
731,Todd H,5.0 out of 5 stars,"Reviewed in the United States on January 17, 2017",Never thought I would like seaweed but the sesame especially goes great with,  Delicious! Never thought I would like seaweed but the sesame especially goes great with it
